Date,Open,High,Low,Close,Adj Close,Volume
2010-09-09,102.500000,102.500000,101.139999,101.320000,83.143929,26500
2010-09-10,101.680000,101.860001,101.300003,101.779999,83.521400,8600
2010-09-13,102.959999,103.139999,102.500000,103.059998,84.571770,33700
2010-09-14,102.839996,103.480003,102.379997,103.040001,84.555374,59400
2010-09-15,102.620003,103.379997,102.400002,103.300003,84.768715,9200
2010-09-16,103.019997,103.320000,102.699997,103.260002,84.735901,59500
2010-09-17,103.879997,103.879997,103.019997,103.360001,84.817970,49300
2010-09-20,103.739998,105.040001,103.459999,105.040001,86.196617,19000
2010-09-21,105.019997,105.440002,104.279999,104.720001,85.933998,19200
2010-09-22,104.559998,105.040001,103.959999,104.160004,85.474480,18100
2010-09-23,103.320000,104.339996,103.120003,103.300003,84.768715,33300
2010-09-24,103.940002,104.900002,103.860001,104.839996,86.499718,24100
2010-09-27,104.980003,104.980003,104.339996,104.339996,86.087166,15000
2010-09-28,104.320000,105.019997,103.419998,105.019997,86.648224,49800
2010-09-29,104.580002,104.919998,104.220001,104.519997,86.235687,15900
2010-09-30,105.199997,105.680000,103.959999,104.360001,86.103699,44700
2010-10-01,105.080002,105.160004,104.160004,104.720001,86.400734,17100
2010-10-04,105.260002,105.260002,103.500000,103.839996,85.674652,88700
2010-10-05,105.019997,106.199997,104.820000,106.120003,87.555801,19800
2010-10-06,106.120003,106.279999,105.620003,105.940002,87.407318,276900
2010-10-07,106.500000,106.500000,105.320000,105.879997,87.357788,49900
2010-10-08,106.019997,106.739998,105.660004,106.680000,88.017830,61500
2010-10-11,106.720001,106.839996,106.279999,106.500000,87.869324,14200
2010-10-12,106.379997,107.239998,105.739998,107.120003,88.380867,42000
2010-10-13,107.580002,108.279999,107.239998,107.760002,88.908882,74400
2010-10-14,107.699997,107.820000,106.800003,107.360001,88.578903,19100
2010-10-15,108.040001,108.080002,106.720001,107.559998,88.743866,54900
2010-10-18,107.620003,108.440002,107.440002,108.339996,89.387436,22800
2010-10-19,107.139999,107.680000,106.019997,106.620003,87.968330,38500
2010-10-20,106.940002,108.160004,106.940002,107.760002,88.908882,22800
2010-10-21,108.260002,108.760002,107.300003,107.919998,89.040924,29400
2010-10-22,108.160004,108.199997,107.940002,108.180000,89.255447,24800
2010-10-25,109.019997,109.279999,108.459999,108.500000,89.519447,29600
2010-10-26,107.919998,108.559998,107.879997,108.480003,89.502975,15000
2010-10-27,107.739998,108.220001,107.220001,108.139999,89.222427,17100
2010-10-28,108.760002,108.820000,107.760002,108.220001,89.288445,19200
2010-10-29,108.099998,108.419998,108.000000,108.300003,89.354439,13400
2010-11-01,108.919998,109.419998,107.760002,108.360001,89.403946,51500
2010-11-02,109.220001,109.419998,108.860001,109.199997,90.096985,26100
2010-11-03,109.419998,109.660004,108.320000,109.660004,90.476524,31800
2010-11-04,110.900002,111.800003,110.739998,111.720001,92.176170,49000
2010-11-05,111.900002,112.300003,111.680000,112.160004,92.539223,48300
2010-11-08,111.879997,112.080002,111.500000,112.019997,92.423683,43400
2010-11-09,112.180000,112.300003,110.800003,111.139999,91.697609,35700
2010-11-10,111.160004,111.599998,110.320000,111.559998,92.044151,28200
2010-11-11,110.680000,111.279999,110.419998,111.199997,91.747131,24000
2010-11-12,110.400002,110.860001,109.379997,109.820000,90.608528,39400
2010-11-15,110.300003,110.519997,109.639999,109.720001,90.526024,202700
